lat_bin,lon_bin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
30,-97,,,,,,,,143635.73397340707,143847.99600773188,171155.1933554287,172473.89793471052,170918.25003824892,178387.17012331178,182669.6057160108,194251.89864978366,210195.77848201257,227944.65491342146,242843.1143500094,258879.31040725295,272226.46628271585,289451.6634709075,338980.5235975115,389103.52243898885,381904.4203056583,387335.2949020918,394962.83367224137
30,-96,137971.24041562868,137983.10379007173,139232.61983647096,143384.08664764118,150837.09001454993,159850.2442816285,164824.02032275073,170912.47486288645,173441.22785216084,163211.1749483825,162412.13021416447,158391.21788950812,157669.94304655964,165861.24513027392,181617.98033516537,200354.1147902212,209069.28156380044,213244.2172910413,219951.43484479326,229013.30271639573,240344.60459572286,277140.18440227985,324980.85829296004,325143.60206878977,326398.3018731853,327832.0822259182
30,-95,,,,,,102498.03605154264,107249.38015363927,115035.0363745069,115777.02770992611,119162.45477927248,116925.04057588792,114979.35453924707,114573.64357074603,116758.21628582255,123583.8482156938,128920.28249046141,133290.73039892857,138654.9329548684,145995.50496321404,154543.73417625908,166102.59417110696,182315.49936821303,196771.08131635477,189110.38087239844,188150.47692159627,189107.25277527893
30,-94,,,,,,,,,,127047.18173578712,126444.9080120042,118106.4835656902,120902.4817829614,125504.35509191883,130833.39961270426,137057.87844430152,176252.2572875623,179644.00068626407,186696.974430298,198366.0805994042,205931.23827884332,201387.91614093108,201011.41956173524,188917.12641397343,179228.8293373565,179982.82299500945
30,-93,,,,160345.79949411,164513.39122283438,170625.58787366253,191499.34198221966,201295.88319650583,205502.57086224697,163335.7230282963,163036.28469915016,155744.64101094025,153313.76857523475,158207.150499739,158084.82038298403,162611.65622148622,163979.46703931718,156243.39681648122,155064.2173304333,159877.99180074883,167245.82982883838,170946.97605109913,178901.5627950184,175314.04398941752,166882.89764719544,164347.60425451622
30,-92,,,136366.12681087208,135617.29426832782,137611.57343148522,148597.21178400697,168120.40485308671,179880.24381634642,183728.14005859682,169581.12828831255,168822.46914506992,160809.82547692934,157925.9257065388,159679.42100411272,163796.69999476563,171797.3638804719,174942.55152707332,176722.30233812646,184558.0026072846,187426.22644681425,193743.42204178046,200032.20192549995,213349.6418961069,217287.3782809193,217157.74666404023,216473.7486908903
30,-91,159764.9123876866,168206.58246233614,170509.2158545316,184227.48495848794,194998.91068657118,199739.70890635363,216644.7475052828,206113.96425372624,208675.29709738537,200074.74473731508,188670.85603344056,181108.4392227566,175791.6739801988,182017.30762611976,188288.9632201071,200141.76894654238,208692.68147397123,206751.52311377603,209887.55864835426,215428.90755549277,223248.7345845257,241052.3677336472,258930.4789743649,251240.3109268549,247485.4754443143,248692.56413544976
30,-90,91587.18122962807,104076.3415708763,109644.60620629042,133778.1348315654,140965.61615004204,147651.22012928306,157911.0747518636,162845.64370358875,161890.70152119387,159024.21589642932,130797.30066717794,128637.48869867611,121722.88300075935,127809.71244218574,131808.22021794444,139270.85389367802,146532.18608199904,151025.07000292858,155291.66501247013,161023.6769853516,170833.8686466867,190371.6909605088,210343.61874862833,205163.7371033311,205001.38401861975,205588.67551047695
30,-89,92895.58348682518,98188.64218072072,100950.77451609695,101752.38509417934,103442.90570471201,110626.1704046872,127030.57698279306,138898.7366776207,137999.06895333386,134740.6821351441,126096.81636548016,111868.85746637474,105926.92165772631,104672.02958562816,105523.83318139,109513.77163711593,115030.6663453149,119369.89069509438,124249.70911845884,130565.15521398775,140646.78620146395,157789.05670793442,176492.34607113848,181872.28602524142,188504.2061713594,188868.93577473177
30,-88,111794.31530701947,114494.57608549666,118829.71393440705,124068.16799356366,132903.62981669093,157035.32553423892,183554.5893680775,184617.51482310923,174042.59734494993,160360.72184603836,149869.35889095644,135840.7358467866,132571.10866206643,139977.04600058906,147671.9489599062,155968.75138892903,166098.28651635748,176850.8840192771,190339.8540502283,203632.7167188148,223946.0062852257,264507.22247549414,308386.7064360439,321044.27526851365,328187.1985224888,326746.00136833003
