lat_bin,lon_bin,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
25.75,-81.5,112378.12999263356,136251.62798177885,141639.02822440644,164174.38162311263,223484.2180445057,280520.19316293066,326455.4935247389,316015.3422730724,264953.75478169514,205558.5197739698,186285.4246672413,181260.14302311823,195405.78765454373,205599.4292262136,239992.24424409133,274542.29213561415,286358.3454297849,279760.42403434543,261838.08485988143,260472.49627087405,280360.35904694715,342557.65322572424,412739.7807767858,425546.1314410155,411086.91386614775,374162.7440179067
25.75,-80.5,149889.65765749052,162260.201282721,183838.88205053104,212629.72617026154,248034.48544919497,309139.3007008148,377987.01226553175,390031.4448150794,323537.08183570404,236781.1075622899,212975.57104087953,200207.26190825732,201239.97570988958,228464.17605817557,258776.83192726734,285148.65933293145,310817.2844842357,334064.6819509881,355095.76452737016,369085.5852984562,420830.62001798995,471426.7730833981,564317.654599398,615569.0862845683,666795.7415742994,667768.4468902074
25.75,-80.25,158282.09961575572,177391.81640298112,205579.640726705,240085.98870633627,285204.2657086862,361007.6060245115,447448.30581626244,465061.3591871707,383706.9312390817,285265.39349156746,250448.37243683366,230918.6853607454,242552.14054983604,288659.4379721886,338862.96545053273,387338.95796454785,428691.23745300097,445631.84927773406,466849.8383707988,483702.91134343686,506832.5835779562,590764.3260873898,770324.6444309376,809554.6657997988,852183.4758482887,838099.7393398405
26.0,-98.5,,,,,,,,78604.5203106919,76491.37107717175,75526.72649944689,81006.16110256125,81431.82550148678,81472.67688008852,82640.24448978988,84749.78759690147,87921.93763522236,94448.32624378179,96675.44349790606,98834.19086546774,105054.89318879704,114700.28449673695,131527.09399164302,153493.35062998778,167930.6534537652,174701.6890709388,174552.19513840333
26.0,-98.25,,,,,,,,74706.25531319002,74229.37469120436,73377.50864890411,75061.18851863677,75720.42511291453,74536.89086277243,75451.9872366397,79390.3839384656,83615.15765722097,89107.15994466103,92850.16272862755,98287.94863357655,101786.05604397066,112101.57171986406,129750.07980969227,151686.0942442787,164995.36959156446,174174.477696898,172739.2787242786
26.0,-98.0,,104455.58221643412,105438.26280955423,107710.88445439123,118088.96889253467,124828.3156994955,129931.86419235365,84945.29698116859,85052.74354579391,86155.21919577086,84796.21224897954,82691.65396358403,78319.14814295864,77443.74641923631,80555.0269370059,85808.35186503842,88645.70818718299,90206.76927272484,92717.9716349227,95636.80598781191,106079.57142219557,123269.86609505277,141575.5486025647,154435.74080321955,162170.44810854603,162698.3152341487
26.0,-97.75,,113785.11181198736,113101.38279324143,116929.67272249897,127462.63663181124,138740.17494735724,143565.04854504747,147466.34316701334,146948.18606308178,145685.4305590394,146693.45540488407,144783.6400088311,143435.18186622695,144530.08466819968,143967.9216104122,148988.8207634377,154165.20886471847,159287.08863320455,159330.92330666637,153850.23345692834,160207.25643606513,186388.99476875103,213533.80694585067,220389.6636737759,222583.11589518707,228024.34612737183
26.0,-97.5,,112133.00076590634,112713.80999785606,117345.89580809914,128763.04344129356,141961.6556296391,152633.75760783846,157059.68439056326,160960.50377917645,163174.3047363238,161323.61902489298,153883.15475555148,141813.50305517326,138538.47545341565,137045.61655245378,143820.22535932186,147514.37632111827,151921.13179878102,153302.09494393185,149675.5293567072,158753.9937246695,186797.32130148786,221543.82680267195,240515.48896864243,248972.27890655166,244371.11203802234
26.0,-97.25,,224440.5932105738,230970.17115624296,235722.59801185748,253293.31222881112,291893.8742204137,332462.9492340353,359709.0364127431,366349.1939703037,362934.6073271627,360503.55707911897,360600.47429767105,345645.92223854474,339406.32344163023,326448.44080922066,328383.4327074518,325454.33361382113,323807.138242564,330676.4016299055,321479.3800566576,334470.9847962367,399396.21406338393,509575.8095653504,527076.1439197956,535707.0586941079,524256.12545230193
26.0,-82.0,390236.3687126229,456267.4460527625,513366.63345441857,557924.3450592171,616988.7613441702,799092.5141484771,979373.3800705753,911968.4680518459,767968.6499840801,649309.7823564669,608183.7304652545,583065.4703658156,578130.5771178886,636213.1069508301,731396.8582690854,837035.3638726312,907529.686185517,904711.2203619551,925214.5010594927,970994.22693365,1004789.2467622869,1292150.916280828,1900597.9140665855,1939201.1944438547,1960458.9111710123,1841538.3929593693
